After Effects matchName,Number of projects using effect
ADBE Tile,276
ADBE Shift Channels,236
ADBE Geometry2,232
Pseudo/0M902d1177wUf,152
Pseudo/wLbdf61afdSOU,132
ADBE Grid,122
Pseudo/gd6e335d31yLD,120
ADBE Tint,104
Pseudo/JI4d5dd601OEI,101
Pseudo/Duc8e4ac45tLu,99
ADBE Point Control,94
Pseudo/P1171262bcbQ3,80
ADBE Emboss,75
ADBE Displacement Map,75
ADBE Slider Control,70
ADBE Invert,60
ADBE Easy Levels2,60
Pseudo/aFfd70d4c7xVC,56
ADBE CurvesCustom,55
ADBE Fractal Noise,55
ADBE Mosaic,49
Pseudo/Lu12da4b53bEZ,48
ADBE Solid Composite,47
ADBE Fill,44
ADBE Checkbox Control,41
Pseudo/VMa9ac4493l7A,40
Pseudo/lhebf2c5065N0,40
ADBE Motion Blur,40
ADBE Fast Blur,37
ADBE Threshold2,34
Pseudo/9o1f4d87d4T9o,34
Pseudo/jof683d967ELQ,34
ADBE Optics Compensation,32
ADBE AIF Perlin Noise 3D,31
ADBE Offset,31
Pseudo/gF6bf1ae410bi,31
Pseudo/oX4uad52f5ed6,31
Pseudo/EE8cb95da5AHV,30
Pseudo/dO4cd6c49bu1k,30
ADBE Venetian Blinds,29
ADBE Gradient Wipe,24
ADBE Turbulent Displace,24
ADBE Set Matte3,24
ADBE Calculations,24
ADBE Glo2,24
ADBE Corner Pin,24
ADBE Tritone,21
Pseudo/1i194b081fwEa,21
APC Colorama,19
ADBE Block Dissolve,17
ADBE Compound Blur,17
Pseudo/eA1e9c3bbcURV,17
ADBE Twirl,17
Pseudo/cx1389f5c568G,16
CC Scale Wipe,15
ADBE Extract,14
ADBE Pro Levels2,14
ADBE Radial Blur,13
ADBE Posterize,11
ADBE Posterize Time,11
ADBE Mirror,11
Pseudo/OS5f5e5fe3cCr,11
CC Tiler,11
ADBE GROW BOUNDS,11
Pseudo/jn5f5e5fe3187,10
ADBE Minimax,10
ADBE Box Blur2,10
CS CrossBlur,10
Pseudo/MQ8e12d752xRF,10
CC Ball Action,10
Pseudo/4NUR70b8cc59T,10
Pseudo/YLUh187e708u,10
ADBE Camera Lens Blur,10
Pseudo/6bUb8bec601bD,10
Pseudo/4aVCbd9916cb0,10
Pseudo/LcUVdebd8b95J,10
Pseudo/tk4c442c242TG,10
ADBE BEZMESH,10
Pseudo/Qf2c2486cczUl,10
ADBE Noise,10
ADBE Bulge,10
ADBE Unsharp Mask2,9
ADBE HUE SATURATION,8
ADBE Exposure2,8
CC Glass,8
Pseudo/7Q3a02fd8fb7D,7
Pseudo/AWbbb16537rEb,6
Pseudo/DY94b006bmEF,6
Pseudo/Uh93eec55as9r,6
Pseudo/T3a3b0eb1d01Z,6
ADBE Ramp,6
ADBE Roughen Edges,6
Pseudo/kB8ca58ec6GTw,5
Pseudo/rne7db0222FVn,5
Pseudo/hxe7db0222kSm,5
Pseudo/OU775988e2lOw,4
ADBE Color Balance (HLS),4
Pseudo/WJe972940cSG1,4
ADBE Sharpen,4
Pseudo/t96af8ad9dHR7,4
Pseudo/uce808bf00h30,4
Pseudo/bq86cc0d3a2Lz,4
Pseudo/bN94b006bmD0,4
Pseudo/F9aa2bf26eh3O,4
Pseudo/l727b1169fNDU,4
Pseudo/5U6efc2d00E1Z,4
Pseudo/1t338c2056m1u,4
ADBE Wave Warp,4
ADBE Scatter,4
CC Radial Blur,4
Pseudo/297b7b9b35ANi,3
Pseudo/Hmc4a95bb54MX,3
ADBE Angle Control,3
CC Lens,3
CC Flo Motion,3
CC Light Sweep,2
CC Composite,2
Pseudo/0W53055640xDw,2
Pseudo/hB10fc0379xNN,2
Pseudo/nQc64639a8QGq,2
Pseudo/0d22c58c4bj2R,2
Pseudo/Kd35ab20d6LG2,1
Pseudo/Tn80eeb9e08BJ,1
Pseudo/pc1qf96d7b84s,1
ADBE WRPMESH,1
APC Caustics,1
CC Bender,1
Pseudo/3W1a5924e8KDt,1
Pseudo/ns11079913N2W,1
Pseudo/pncc607ad3JS2,1
Pseudo/L52ea88a69n1R,1
Pseudo/ph7f320c68jTb,1
